,env_br_per_min,scene_br_per_min,seq_per min,light,0 face,1 face,2 faces,3 faces,4+ faces,0 pers,1 pers,2 pers,3 pers,4 pers,5+ pers
139_11,8.5,14.1,14.1,41.5,38.1,28.6,33.3,0.0,0.0,0.0,9.1,45.5,45.5,0.0,0.0
13_2,3.7,5.6,5.6,14.6,100.0,0.0,0.0,0.0,0.0,6.2,18.8,75.0,0.0,0.0,0.0
140_15,10.2,7.7,7.7,33.5,100.0,0.0,0.0,0.0,0.0,41.7,58.3,0.0,0.0,0.0,0.0
141_14,8.3,13.1,2.4,10.4,42.9,57.1,0.0,0.0,0.0,8.0,80.0,8.0,0.0,4.0,0.0
142_15,5.6,7.4,5.6,34.4,83.9,16.1,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0
143_9,11.0,2.7,2.7,20.7,66.7,33.3,0.0,0.0,0.0,0.0,57.1,0.0,4.8,9.5,28.6
144_11,7.7,7.7,4.8,29.0,53.3,46.7,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0
145_3,15.6,17.1,7.8,24.1,78.4,21.6,0.0,0.0,0.0,0.0,21.1,78.9,0.0,0.0,0.0
146_12,16.5,14.7,8.2,30.1,98.4,1.6,0.0,0.0,0.0,6.2,21.9,71.9,0.0,0.0,0.0
147_1,13.4,20.9,14.9,35.6,76.9,23.1,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0
148_4,23.8,17.3,2.2,22.3,40.7,59.3,0.0,0.0,0.0,0.0,59.3,7.4,7.4,0.0,25.9
149_11,5.8,5.8,5.8,16.6,80.0,20.0,0.0,0.0,0.0,0.0,0.0,6.7,66.7,0.0,26.7
14_15,5.8,2.9,2.9,39.8,70.0,30.0,0.0,0.0,0.0,13.3,86.7,0.0,0.0,0.0,0.0
150_15,6.4,8.5,8.5,27.1,55.6,37.0,7.4,0.0,0.0,0.0,57.1,14.3,0.0,21.4,7.1
151_13,25.1,26.5,12.6,35.7,20.9,69.8,9.3,0.0,0.0,0.0,31.8,45.5,4.5,4.5,13.6
152_10,8.0,2.4,1.6,9.5,41.7,58.3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
153_11,4.1,8.1,8.1,23.2,93.1,6.9,0.0,0.0,0.0,26.7,6.7,66.7,0.0,0.0,0.0
154_1,18.3,9.1,4.6,28.7,100.0,0.0,0.0,0.0,0.0,0.0,7.7,92.3,0.0,0.0,0.0
155_6,2.6,3.9,3.9,26.2,82.2,17.8,0.0,0.0,0.0,0.0,26.1,73.9,0.0,0.0,0.0
156_11,12.0,9.6,7.2,35.3,41.7,41.7,16.7,0.0,0.0,8.3,25.0,33.3,16.7,16.7,0.0
157_9,8.0,6.2,3.6,31.0,56.9,38.5,4.6,0.0,0.0,9.1,66.7,15.2,9.1,0.0,0.0
158_2,2.7,2.7,2.7,23.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.5,45.5
159_12,16.3,14.2,4.2,37.3,97.6,2.4,0.0,0.0,0.0,7.3,78.0,14.6,0.0,0.0,0.0
15_13,19.7,21.5,7.2,28.7,8.8,38.2,52.9,0.0,0.0,0.0,5.9,11.8,17.6,0.0,64.7
160_9,12.1,12.1,6.6,30.9,66.0,32.1,1.9,0.0,0.0,0.0,7.4,33.3,40.7,11.1,7.4
161_3,10.3,4.8,1.6,30.3,63.0,37.0,0.0,0.0,0.0,0.0,2.7,73.0,2.7,5.4,16.2
162_6,4.9,2.1,0.1,11.5,92.5,6.7,0.8,0.0,0.0,11.9,16.6,21.8,11.9,10.9,26.9
163_4,15.7,14.4,6.6,22.5,27.3,38.6,27.3,6.8,0.0,0.0,4.5,0.0,54.5,0.0,40.9
164_3,4.6,2.7,1.8,21.3,79.4,17.5,3.2,0.0,0.0,0.0,6.2,93.8,0.0,0.0,0.0
165_10,12.1,13.0,5.6,32.5,80.6,19.4,0.0,0.0,0.0,9.7,61.3,29.0,0.0,0.0,0.0
166_13,7.2,10.7,7.2,21.2,76.5,23.5,0.0,0.0,0.0,0.0,22.2,33.3,22.2,22.2,0.0
167_4,27.8,24.6,3.3,38.7,4.2,88.7,7.0,0.0,0.0,0.0,5.6,16.7,36.1,25.0,16.7
168_2,0.0,8.6,8.6,14.2,79.4,20.6,0.0,0.0,0.0,0.0,11.8,58.8,29.4,0.0,0.0
169_13,23.7,16.1,3.4,39.7,11.3,83.1,4.2,1.4,0.0,0.0,50.0,19.4,11.1,2.8,16.7
16_15,20.9,18.3,10.4,36.6,36.4,63.6,0.0,0.0,0.0,0.0,18.2,9.1,0.0,0.0,72.7
170_13,24.1,24.1,2.0,26.9,21.7,20.0,31.7,26.7,0.0,0.0,10.0,6.7,66.7,0.0,16.7
171_11,5.5,13.6,13.6,31.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,45.5,18.2,18.2,18.2
172_10,16.5,11.7,1.4,13.6,61.9,38.1,0.0,0.0,0.0,7.1,90.5,2.4,0.0,0.0,0.0
173_1,19.2,21.1,9.6,19.1,66.7,33.3,0.0,0.0,0.0,0.0,13.3,53.3,6.7,20.0,6.7
174_9,12.5,9.0,3.6,20.1,81.2,18.8,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
175_2,18.3,11.0,9.2,16.8,96.9,3.1,0.0,0.0,0.0,12.5,68.8,0.0,6.2,0.0,12.5
