,env_br_per_min,scene_br_per_min,seq_per min,light,0 face,1 face,2 faces,3 faces,4+ faces,0 pers,1 pers,2 pers,3 pers,4 pers,5+ pers
291_8,5.4,7.2,7.2,23.1,87.5,12.5,0.0,0.0,0.0,68.8,31.2,0.0,0.0,0.0,0.0
292_1,13.3,13.3,2.7,21.8,93.0,7.0,0.0,0.0,0.0,0.0,86.4,13.6,0.0,0.0,0.0
293_6,2.1,1.4,1.4,12.9,90.4,9.6,0.0,0.0,0.0,4.8,38.1,57.1,0.0,0.0,0.0
294_13,20.5,11.0,2.4,31.2,66.2,33.8,0.0,0.0,0.0,2.6,30.8,66.7,0.0,0.0,0.0
295_15,19.7,12.5,9.0,33.9,84.4,15.6,0.0,0.0,0.0,18.8,18.8,12.5,25.0,12.5,12.5
296_8,13.2,13.2,2.9,21.5,100.0,0.0,0.0,0.0,0.0,75.0,20.0,0.0,5.0,0.0,0.0
297_3,15.1,5.0,3.4,30.4,60.0,40.0,0.0,0.0,0.0,16.7,5.6,44.4,16.7,16.7,0.0
298_13,17.1,10.0,4.3,18.4,9.5,21.4,57.1,9.5,2.4,0.0,0.0,52.4,14.3,4.8,28.6
299_6,9.0,2.7,1.8,28.9,73.6,26.4,0.0,0.0,0.0,0.0,43.1,56.9,0.0,0.0,0.0
29_12,15.1,12.8,7.0,29.1,66.0,32.0,2.0,0.0,0.0,24.0,12.0,8.0,4.0,32.0,20.0
2_4,5.6,2.2,2.2,9.2,80.8,19.2,0.0,0.0,0.0,57.7,38.5,3.8,0.0,0.0,0.0
300_7,15.0,9.0,4.5,27.2,56.4,43.6,0.0,0.0,0.0,0.0,35.0,65.0,0.0,0.0,0.0
30_11,16.9,14.1,11.2,30.7,59.7,40.3,0.0,0.0,0.0,0.0,32.3,67.7,0.0,0.0,0.0
31_14,8.6,12.3,4.9,9.9,34.0,51.1,14.9,0.0,0.0,0.0,12.5,54.2,29.2,0.0,4.2
32_13,26.7,28.9,13.3,40.0,33.3,66.7,0.0,0.0,0.0,0.0,78.6,0.0,0.0,0.0,21.4
33_11,23.4,17.0,6.4,19.0,92.6,7.4,0.0,0.0,0.0,0.0,78.6,21.4,0.0,0.0,0.0
34_3,7.9,7.9,4.8,25.3,10.8,81.1,8.1,0.0,0.0,0.0,15.8,84.2,0.0,0.0,0.0
35_10,13.7,13.7,1.4,22.2,40.5,59.5,0.0,0.0,0.0,0.0,26.2,73.8,0.0,0.0,0.0
36_10,0.0,10.0,2.2,5.9,50.0,50.0,0.0,0.0,0.0,0.0,88.5,11.5,0.0,0.0,0.0
37_11,8.2,1.4,1.4,17.9,2.4,95.2,2.4,0.0,0.0,0.0,71.4,28.6,0.0,0.0,0.0
38_4,22.7,14.0,1.7,19.2,15.2,72.7,12.1,0.0,0.0,0.0,81.8,18.2,0.0,0.0,0.0
39_1,16.4,14.2,6.7,39.3,94.8,5.2,0.0,0.0,0.0,0.0,87.2,12.8,0.0,0.0,0.0
3_5,2.7,16.4,16.4,13.4,85.7,14.3,0.0,0.0,0.0,0.0,45.5,54.5,0.0,0.0,0.0
40_13,21.8,24.2,21.8,30.6,32.0,60.0,8.0,0.0,0.0,0.0,0.0,30.8,23.1,0.0,46.2
41_2,0.0,15.7,3.9,9.0,75.0,25.0,0.0,0.0,0.0,0.0,81.8,9.1,9.1,0.0,0.0
42_13,24.5,16.3,2.3,34.3,17.3,42.3,40.4,0.0,0.0,0.0,34.6,46.2,11.5,7.7,0.0
43_11,9.0,5.4,4.5,35.7,46.9,21.9,31.2,0.0,0.0,9.4,28.1,18.8,43.8,0.0,0.0
44_12,14.8,1.1,1.1,22.4,100.0,0.0,0.0,0.0,0.0,0.0,32.1,60.7,7.1,0.0,0.0
45_14,8.3,5.2,2.6,18.5,83.9,16.1,0.0,0.0,0.0,1.8,73.2,19.6,5.4,0.0,0.0
46_9,10.9,10.9,8.2,33.2,100.0,0.0,0.0,0.0,0.0,0.0,36.4,0.0,0.0,0.0,63.6
47_3,0.0,6.2,6.2,9.9,52.6,47.4,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
48_13,26.3,23.4,14.6,24.9,33.3,66.7,0.0,0.0,0.0,0.0,45.5,54.5,0.0,0.0,0.0
49_7,9.2,8.1,6.9,27.3,84.0,16.0,0.0,0.0,0.0,0.0,16.0,32.0,32.0,20.0,0.0
4_13,24.7,32.0,13.1,32.1,54.8,45.2,0.0,0.0,0.0,4.8,33.3,38.1,0.0,14.3,9.5
50_10,12.5,5.4,3.6,45.2,93.8,6.2,0.0,0.0,0.0,0.0,50.0,25.0,25.0,0.0,0.0
51_5,6.9,6.9,3.1,18.0,98.7,1.3,0.0,0.0,0.0,7.9,36.8,55.3,0.0,0.0,0.0
52_11,14.6,14.6,4.2,29.1,29.1,60.0,10.9,0.0,0.0,0.0,35.7,25.0,32.1,7.1,0.0
53_13,15.7,17.0,6.5,33.0,63.0,37.0,0.0,0.0,0.0,0.0,0.0,69.6,30.4,0.0,0.0
54_2,6.4,3.2,3.2,13.0,94.6,5.4,0.0,0.0,0.0,10.5,63.2,21.1,5.3,0.0,0.0
55_13,21.8,23.5,8.4,35.1,25.0,47.2,27.8,0.0,0.0,0.0,27.8,33.3,5.6,5.6,27.8
56_11,4.9,4.9,3.5,26.0,85.5,13.3,1.2,0.0,0.0,0.0,4.8,95.2,0.0,0.0,0.0
57_6,0.0,8.4,8.4,14.8,100.0,0.0,0.0,0.0,0.0,4.8,81.0,14.3,0.0,0.0,0.0
58_6,5.7,4.5,2.3,15.2,88.2,11.8,0.0,0.0,0.0,53.8,15.4,23.1,7.7,0.0,0.0
59_2,0.0,16.9,16.9,13.6,100.0,0.0,0.0,0.0,0.0,33.3,33.3,33.3,0.0,0.0,0.0
5_11,0.0,3.3,3.3,22.4,5.7,57.1,37.1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
60_3,4.0,17.9,9.9,12.6,93.1,3.4,3.4,0.0,0.0,0.0,26.7,26.7,6.7,13.3,26.7
61_4,25.0,22.0,7.0,26.8,25.9,51.7,13.8,8.6,0.0,6.9,41.4,20.7,24.1,0.0,6.9
62_8,11.9,19.0,1.2,23.5,85.7,12.2,2.0,0.0,0.0,20.0,32.0,20.0,4.0,12.0,12.0
63_2,0.0,9.6,7.7,12.4,86.7,13.3,0.0,0.0,0.0,0.0,66.7,33.3,0.0,0.0,0.0
64_10,0.0,11.5,8.0,4.9,68.0,32.0,0.0,0.0,0.0,12.0,80.0,0.0,0.0,0.0,8.0
65_11,7.4,7.4,7.4,50.3,94.9,5.1,0.0,0.0,0.0,5.0,25.0,70.0,0.0,0.0,0.0
66_9,7.8,9.1,3.9,16.5,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
67_3,20.8,17.0,7.6,25.2,67.7,16.1,16.1,0.0,0.0,0.0,43.8,37.5,6.2,12.5,0.0
68_3,16.0,8.7,1.3,24.4,62.8,33.7,3.5,0.0,0.0,0.0,58.1,18.6,0.0,23.3,0.0
69_2,10.5,13.7,4.0,16.2,55.6,44.4,0.0,0.0,0.0,0.0,52.8,47.2,0.0,0.0,0.0
6_3,4.1,4.1,4.1,38.2,67.9,21.4,10.7,0.0,0.0,7.1,7.1,85.7,0.0,0.0,0.0
70_15,11.1,9.2,7.4,19.9,83.9,16.1,0.0,0.0,0.0,75.0,18.8,0.0,0.0,6.2,0.0
71_7,0.0,3.5,3.5,38.4,69.7,27.3,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
72_2,10.0,4.6,1.5,12.4,100.0,0.0,0.0,0.0,0.0,5.3,63.2,31.6,0.0,0.0,0.0
73_6,6.9,6.9,3.4,9.0,100.0,0.0,0.0,0.0,0.0,8.0,48.0,20.0,16.0,4.0,4.0
74_4,26.1,27.8,10.4,18.4,45.5,54.5,0.0,0.0,0.0,0.0,17.6,41.2,41.2,0.0,0.0
75_6,1.1,1.1,1.1,11.4,100.0,0.0,0.0,0.0,0.0,7.4,50.6,42.0,0.0,0.0,0.0
76_11,0.0,4.8,4.8,27.3,91.7,8.3,0.0,0.0,0.0,0.0,8.3,91.7,0.0,0.0,0.0
77_11,5.8,3.3,2.5,29.7,68.1,26.1,5.8,0.0,0.0,0.0,5.7,62.9,31.4,0.0,0.0
78_9,5.3,4.6,3.3,52.5,95.4,4.6,0.0,0.0,0.0,2.3,18.2,79.5,0.0,0.0,0.0
79_8,1.7,3.5,3.5,18.1,36.4,63.6,0.0,0.0,0.0,0.0,11.8,70.6,17.6,0.0,0.0
7_1,12.1,9.1,1.5,16.7,55.3,44.7,0.0,0.0,0.0,5.3,10.5,84.2,0.0,0.0,0.0
80_9,2.2,4.3,4.3,45.3,100.0,0.0,0.0,0.0,0.0,0.0,14.3,21.4,28.6,21.4,14.3
81_15,11.0,6.3,1.6,21.8,83.6,16.4,0.0,0.0,0.0,27.0,29.7,43.2,0.0,0.0,0.0
82_11,12.3,10.3,6.2,33.7,85.7,14.3,0.0,0.0,0.0,0.0,7.1,35.7,50.0,0.0,7.1
83_14,10.1,11.8,3.4,18.4,79.4,20.6,0.0,0.0,0.0,0.0,11.8,88.2,0.0,0.0,0.0
84_4,25.8,28.4,20.6,34.9,52.2,47.8,0.0,0.0,0.0,0.0,50.0,0.0,25.0,25.0,0.0
85_6,2.6,20.6,20.6,36.9,21.7,60.9,13.0,4.3,0.0,0.0,8.3,8.3,83.3,0.0,0.0
86_14,4.7,4.7,4.7,13.9,100.0,0.0,0.0,0.0,0.0,7.7,0.0,7.7,84.6,0.0,0.0
87_2,5.9,5.9,3.0,16.0,100.0,0.0,0.0,0.0,0.0,30.0,25.0,0.0,5.0,10.0,30.0
88_11,8.4,10.5,8.4,29.6,10.7,35.7,53.6,0.0,0.0,0.0,14.3,78.6,7.1,0.0,0.0
89_2,5.4,5.4,1.8,14.5,100.0,0.0,0.0,0.0,0.0,37.5,50.0,0.0,12.5,0.0,0.0
8_3,21.2,10.6,4.2,22.1,100.0,0.0,0.0,0.0,0.0,0.0,21.4,78.6,0.0,0.0,0.0
90_15,10.0,6.7,3.3,31.3,88.9,0.0,5.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0,100.0
91_14,5.5,6.9,2.7,11.3,100.0,0.0,0.0,0.0,0.0,0.0,19.0,71.4,9.5,0.0,0.0
92_4,23.3,20.0,5.6,37.6,28.8,57.7,3.8,9.6,0.0,0.0,26.9,38.5,7.7,15.4,11.5
93_8,9.9,9.9,2.2,15.5,75.5,24.5,0.0,0.0,0.0,3.7,40.7,55.6,0.0,0.0,0.0
94_2,2.5,7.5,7.5,16.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,41.7,25.0,25.0
95_14,15.2,15.2,6.1,12.3,68.4,31.6,0.0,0.0,0.0,0.0,10.0,90.0,0.0,0.0,0.0
96_6,8.5,5.6,2.8,30.2,85.4,9.8,2.4,2.4,0.0,4.8,0.0,19.0,4.8,23.8,47.6
97_6,2.4,3.3,1.6,12.5,76.1,19.7,4.2,0.0,0.0,5.6,11.1,50.0,5.6,13.9,13.9
98_13,27.7,27.7,9.2,34.4,33.3,51.5,15.2,0.0,0.0,0.0,5.9,58.8,11.8,11.8,11.8
99_11,0.0,4.7,4.7,52.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
9_1,12.6,11.8,2.4,20.6,52.1,43.8,4.1,0.0,0.0,0.0,29.7,54.1,16.2,0.0,0.0
