,env_br_per_min,scene_br_per_min,seq_per min
233_13,27.9,29.2,5.1
231_13,24.0,24.0,9.6
145_3,15.6,17.1,7.8
241_14,7.7,7.7,2.2
236_15,11.4,6.7,6.7
170_13,24.1,24.1,2.0
292_1,13.3,13.3,2.7
181_13,17.5,18.9,4.0
140_15,10.2,7.7,7.7
159_12,16.3,14.2,4.2
144_11,7.7,7.7,4.8
261_6,0.7,4.8,1.4
279_11,10.4,10.4,6.0
93_8,9.9,9.9,2.2
263_10,10.3,11.8,7.4
162_6,4.9,2.1,0.1
153_11,4.1,8.1,8.1
240_13,24.2,18.5,2.3
252_11,16.0,10.7,5.3
119_8,6.9,6.9,2.7
156_11,12.0,9.6,7.2
102_8,4.0,5.0,4.0
223_11,7.0,3.5,3.5
133_3,15.3,13.8,2.9
150_15,6.4,8.5,8.5
154_1,18.3,9.1,4.6
174_9,12.5,9.0,3.6
110_2,10.1,8.7,5.8
296_8,13.2,13.2,2.9
40_13,21.8,26.7,19.4
222_15,13.8,9.2,6.9
73_6,6.9,6.9,3.4
111_10,16.1,16.1,3.6
260_2,15.5,17.0,6.2
21_15,18.3,7.8,7.8
227_3,11.0,7.0,1.0
229_1,15.5,16.4,3.7
149_11,5.8,5.8,5.8
45_14,8.3,5.2,2.6
12_13,13.5,15.7,4.5
98_13,27.7,27.7,9.2
226_6,2.0,3.3,1.3
97_6,2.4,3.3,1.6
243_5,0.0,16.8,16.8
169_13,23.7,19.4,3.4
31_14,8.6,12.3,4.9
270_13,21.5,13.1,1.5
177_13,19.5,20.6,5.4
95_14,15.2,15.2,6.1
134_2,4.0,4.0,2.0
17_9,0.0,16.4,16.4
258_10,13.9,14.8,4.6
203_2,15.0,17.5,7.5
214_14,4.7,5.7,2.8
245_3,16.1,9.4,2.7
14_15,5.8,2.9,2.9
287_8,14.6,15.8,3.4
103_13,9.0,7.9,4.5
126_13,18.8,11.2,7.5
124_13,16.9,9.4,1.3
139_11,8.5,14.1,14.1
237_14,1.5,2.9,1.5
30_11,16.9,14.1,11.2
16_15,20.9,18.3,10.4
33_11,23.4,17.0,6.4
152_10,8.0,2.4,1.6
116_15,10.0,6.7,5.0
209_1,18.4,22.0,3.7
191_4,22.1,21.4,5.8
81_15,11.0,6.3,1.6
99_11,0.0,4.7,4.7
264_2,0.0,10.0,10.0
57_6,0.0,8.4,8.4
129_5,12.6,12.6,4.2
230_4,25.4,21.0,2.2
136_5,8.8,2.5,2.5
224_15,7.0,4.2,4.2
281_13,23.3,24.5,3.5
250_2,1.5,12.2,3.1
298_13,17.1,10.0,4.3
225_11,15.0,15.0,2.5
158_2,2.7,2.7,2.7
277_2,6.3,6.3,4.2
125_2,15.2,5.1,3.8
2_4,5.6,2.2,2.2
60_3,4.0,17.9,9.9
217_2,20.5,20.5,11.7
286_14,10.7,9.7,1.9
