,env_br_per_min,scene_br_per_min
83_14,10.140845070422536,10.140845070422536
84_4,25.806451612903224,25.806451612903224
85_6,2.5806451612903225,18.06451612903226
86_14,4.705882352941177,4.705882352941177
87_2,5.925925925925926,5.925925925925926
88_11,8.421052631578947,8.421052631578947
89_2,5.373134328358209,3.582089552238806
8_3,21.238938053097346,8.495575221238939
90_15,10.0,3.3333333333333335
91_14,5.485714285714286,5.485714285714286
92_4,23.333333333333332,18.88888888888889
93_8,9.908256880733944,8.807339449541285
94_2,2.5,5.0
95_14,15.189873417721518,12.151898734177216
96_6,8.470588235294118,4.235294117647059
97_6,2.440677966101695,2.440677966101695
98_13,27.692307692307693,27.692307692307693
99_11,0.0,2.3300970873786406
9_1,12.59016393442623,11.01639344262295
