,0 pers,1 pers,2 pers,3 pers,4 pers,5 pers
16_15,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.7272727272727273
149_11,0.0,0.0,0.06666666666666667,0.6666666666666666,0.0,0.26666666666666666
191_4,0.0,0.17777777777777778,0.6222222222222222,0.2,0.0,0.0
292_1,0.0,0.8636363636363636,0.13636363636363635,0.0,0.0,0.0
50_10,0.0,0.5,0.25,0.25,0.0,0.0
2_4,0.5769230769230769,0.38461538461538464,0.038461538461538464,0.0,0.0,0.0
98_13,0.0,0.058823529411764705,0.5882352941176471,0.11764705882352941,0.11764705882352941,0.11764705882352941
287_8,0.0,0.8461538461538461,0.15384615384615385,0.0,0.0,0.0
250_2,0.0,0.42105263157894735,0.05263157894736842,0.21052631578947367,0.2631578947368421,0.05263157894736842
202_9,0.0,0.0,0.07142857142857142,0.42857142857142855,0.5,0.0
164_3,0.0,0.0625,0.9375,0.0,0.0,0.0
48_13,0.0,0.45454545454545453,0.5454545454545454,0.0,0.0,0.0
63_2,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
228_9,0.0,0.3888888888888889,0.0,0.0,0.0,0.6111111111111112
6_3,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.0,0.0,0.0
181_13,0.0,0.391304347826087,0.6086956521739131,0.0,0.0,0.0
268_4,0.043478260869565216,0.782608695652174,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.0
204_2,0.38461538461538464,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.0
104_6,0.012048192771084338,0.3855421686746988,0.5180722891566265,0.07228915662650602,0.012048192771084338,0.0
11_2,0.1875,0.8125,0.0,0.0,0.0,0.0
46_9,0.0,0.36363636363636365,0.0,0.0,0.0,0.6363636363636364
44_12,0.0,0.32142857142857145,0.6071428571428571,0.07142857142857142,0.0,0.0
154_1,0.0,0.07692307692307693,0.9230769230769231,0.0,0.0,0.0
186_2,0.058823529411764705,0.4117647058823529,0.5294117647058824,0.0,0.0,0.0
260_2,0.05263157894736842,0.8421052631578947,0.10526315789473684,0.0,0.0,0.0
105_14,0.0,0.0,1.0,0.0,0.0,0.0
41_2,0.0,0.8181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.0
166_13,0.0,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.0
95_14,0.0,0.1,0.9,0.0,0.0,0.0
57_6,0.047619047619047616,0.8095238095238095,0.14285714285714285,0.0,0.0,0.0
237_14,0.0,1.0,0.0,0.0,0.0,0.0
162_6,0.11917098445595854,0.16580310880829016,0.21761658031088082,0.11917098445595854,0.10880829015544041,0.2694300518134715
39_1,0.0,0.8717948717948718,0.1282051282051282,0.0,0.0,0.0
35_10,0.0,0.2619047619047619,0.7380952380952381,0.0,0.0,0.0
224_15,0.42857142857142855,0.3333333333333333,0.0,0.23809523809523808,0.0,0.0
