,env_br_per_min,scene_br_per_min,seq_per min
257_8,17.3,12.0,4.0
258_10,13.9,14.8,4.6
259_15,15.4,12.6,8.4
25_13,20.6,24.0,13.7
260_2,15.5,17.0,6.2
261_6,0.7,4.8,1.4
262_11,11.0,12.2,6.1
263_10,10.3,11.8,8.8
264_2,0.0,10.0,10.0
265_15,18.0,6.3,5.4
266_2,3.8,1.9,1.9
267_15,14.4,10.8,9.0
268_4,20.2,13.9,7.6
269_11,6.6,13.3,3.3
26_15,22.9,22.9,8.6
270_13,21.5,13.1,1.5
271_14,0.0,6.4,1.8
272_11,5.5,7.4,5.5
273_6,10.2,7.7,5.1
274_9,11.1,7.9,7.9
275_5,3.5,3.5,2.3
276_11,14.9,16.0,6.4
277_2,6.3,6.3,4.2
278_14,14.5,4.6,1.2
279_11,10.4,10.4,6.0
27_14,0.0,6.1,6.1
280_11,9.9,9.9,9.9
281_13,23.3,24.5,3.5
282_6,5.3,9.2,5.3
283_14,1.6,3.2,3.2
284_6,0.0,2.0,1.0
285_2,9.7,6.5,6.5
286_14,10.7,9.7,1.9
287_8,14.6,15.8,3.4
288_13,18.4,18.4,6.7
289_14,3.3,6.5,6.5
28_2,2.5,3.7,2.5
290_2,2.2,4.3,4.3
291_8,5.4,7.2,7.2
292_1,13.3,13.3,2.7
293_6,2.1,1.4,1.4
294_13,20.5,11.0,2.4
295_15,19.7,12.5,9.0
296_8,13.2,13.2,2.9
297_3,15.1,5.0,3.4
298_13,17.1,10.0,4.3
299_6,9.0,2.7,1.8
29_12,15.1,12.8,7.0
2_4,5.6,2.2,2.2
300_7,15.0,9.0,4.5
30_11,16.9,14.1,11.2
31_14,8.6,12.3,4.9
32_13,26.7,28.9,13.3
33_11,23.4,17.0,6.4
34_3,7.9,7.9,4.8
35_10,13.7,13.7,1.4
36_10,0.0,10.0,2.2
37_11,8.2,1.4,1.4
38_4,22.7,14.0,1.7
39_1,16.4,14.2,6.7
3_5,2.7,16.4,16.4
40_13,21.8,24.2,21.8
41_2,0.0,15.7,3.9
42_13,24.5,16.3,2.3
43_11,9.0,5.4,4.5
44_12,14.8,1.1,1.1
45_14,8.3,5.2,2.6
46_9,10.9,10.9,8.2
47_3,0.0,6.2,6.2
48_13,26.3,23.4,14.6
49_7,9.2,8.1,6.9
4_13,24.7,32.0,13.1
50_10,12.5,5.4,3.6
51_5,6.9,6.9,3.1
52_11,14.6,14.6,4.2
53_13,15.7,17.0,6.5
54_2,6.4,3.2,3.2
55_13,21.8,23.5,8.4
56_11,4.9,4.9,3.5
57_6,0.0,8.4,8.4
58_6,5.7,4.5,2.3
59_2,0.0,16.9,16.9
5_11,0.0,3.3,3.3
60_3,4.0,17.9,9.9
61_4,25.0,22.0,7.0
62_8,11.9,19.0,1.2
63_2,0.0,9.6,7.7
64_10,0.0,11.5,8.0
65_11,7.4,7.4,7.4
66_9,7.8,9.1,3.9
67_3,20.8,17.0,7.6
68_3,16.0,8.7,1.3
69_2,10.5,13.7,4.0
6_3,4.1,4.1,4.1
70_15,11.1,9.2,7.4
71_7,0.0,3.5,3.5
72_2,10.0,4.6,1.5
73_6,6.9,6.9,3.4
74_4,26.1,27.8,10.4
75_6,1.1,1.1,1.1
76_11,0.0,4.8,4.8
77_11,5.8,3.3,2.5
78_9,5.3,4.6,3.3
79_8,1.7,3.5,3.5
7_1,12.1,9.1,1.5
80_9,2.2,4.3,4.3
81_15,11.0,6.3,1.6
82_11,12.3,10.3,6.2
83_14,10.1,11.8,3.4
84_4,25.8,28.4,20.6
85_6,2.6,20.6,20.6
86_14,4.7,4.7,4.7
87_2,5.9,5.9,3.0
88_11,8.4,10.5,8.4
89_2,5.4,5.4,1.8
8_3,21.2,10.6,4.2
90_15,10.0,6.7,3.3
91_14,5.5,6.9,2.7
92_4,23.3,20.0,5.6
93_8,9.9,9.9,2.2
94_2,2.5,7.5,7.5
95_14,15.2,15.2,6.1
96_6,8.5,5.6,2.8
97_6,2.4,3.3,1.6
98_13,27.7,27.7,9.2
99_11,0.0,4.7,4.7
9_1,12.6,11.8,2.4
